"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
"1" "11281471.9195714" "-8153693.96317562" "-3229325.15171938" "2045027.37780531" "1846965.90941019" "-2388909.76713608" "1065096.29748965" "-366983.561041635" "-16745.3541777854" "L"
"2" "13540872.7059012" "-4707073.38748521" "-4519430.78625202" "2097330.39428418" "1558697.6061971" "-3713059.00514485" "896814.9239316" "-258804.218258148" "442850.591416709" "L"
"3" "14582658.0086065" "-7490963.73293826" "-4052358.16527027" "2314486.70028293" "2929751.28666434" "-2840471.68086068" "1033611.94410767" "-287721.943834339" "280283.997316405" "L"
"4" "27536040.2884666" "-10828137.2732267" "-4540776.4104144" "3726587.60000484" "1536913.72443023" "-3490737.90402874" "386427.88293453" "-1473550.2977795" "456155.626751499" "L"
"5" "48633522.1643202" "696090.833941282" "2330374.25089903" "-5659657.01534356" "1067000.08641442" "-3410031.45714788" "6055927.64221245" "327203.494263053" "9879.57715926039" "L"
"6" "5256115.67049283" "8585644.74671374" "-2590934.80565593" "1810488.21900859" "750349.973644804" "-3436193.70384371" "124894.111394011" "-16555.1179200943" "324624.728784604" "L"
"7" "-6370143.11416249" "-762855.045461819" "608241.932413686" "936144.129336208" "1053233.06052315" "-1096013.59081014" "716037.311512329" "-50446.2199800496" "-29842.6560690657" "L"
"8" "-16470072.1430664" "-9628595.08338099" "-1524213.86390325" "567584.428473917" "222138.173547714" "-574495.741451842" "373486.769419305" "353968.365534219" "100091.22772137" "L"
"9" "31813754.0055324" "-7638419.26796222" "-1487758.99808019" "1333319.41022068" "1789528.75383613" "-2641717.30632872" "1775956.99560076" "-867791.122315736" "248156.056221112" "L"
"10" "49546297.8568301" "795023.298880791" "-3985594.75101271" "-6878639.41944775" "1145948.00615092" "-4704186.29507245" "3459228.68231886" "508631.984897878" "1146287.48799003" "L"
"11" "37547484.5299243" "8446352.01583748" "-3932094.77689911" "-4329429.14215698" "2881856.5108895" "-3096023.38357694" "3091679.57660812" "-1792046.2510978" "421731.933872192" "L"
"12" "52332676.0738514" "9134155.90072398" "-11477425.859086" "-7575060.72186765" "-75328.7377626931" "-6327035.87546084" "-2346591.97160098" "-2715640.61235281" "1709392.68877678" "L"
"13" "-2543215.46971499" "10997762.731705" "1298142.16940166" "3091255.39354123" "1634757.47863694" "-1149274.54376599" "199978.205085367" "-492093.561946076" "-287475.998209906" "L"
"14" "-3689867.64915472" "8133872.9539735" "163840.31914356" "2519226.55487795" "1565031.89899173" "-1880778.58177746" "-8824.94466083258" "-433194.330648441" "-240042.97920236" "L"
"15" "3101968.78318557" "2948725.22500211" "-1439276.2080615" "2930295.95229794" "2239052.07609352" "-103434.555706637" "1006696.12105413" "230895.751289301" "-202923.362686182" "L"
"16" "139697.40672257" "2062792.36354112" "-800619.658015027" "2532894.66869816" "2241561.65671592" "295585.309457163" "1782653.14932566" "87853.0635689178" "-241626.160411526" "L"
"17" "220805.750686553" "13622377.1830071" "1520219.74880811" "3615828.90197673" "1503037.41396539" "272572.698738442" "301188.798216466" "-625447.247004304" "-272011.398032138" "L"
"18" "127859.271273702" "13413864.5175581" "1495773.11909733" "3654107.65698878" "1467728.24099509" "254555.525365338" "328462.466439" "-584187.704064197" "-252581.892362939" "L"
"19" "2845047.50329796" "-1670131.27476581" "-3651914.00974356" "-348774.536572695" "-321053.493352325" "-548846.789792131" "103186.439014245" "-40875.4585373534" "397340.441896252" "L"
"20" "771400.192551402" "-1903432.93496212" "-4810706.88762774" "34704.6882089072" "-357799.315238058" "-926352.010839922" "-319773.290937833" "-273043.604606759" "709791.553934479" "L"
"21" "1402217.84718859" "4455368.70607528" "-4160364.2498043" "355214.764324478" "-31047.7801415842" "636384.439032086" "1167570.56841361" "-906662.422539949" "53657.7462232794" "L"
"22" "-362407.989031554" "2599896.51752214" "-2772314.80796089" "-338623.820401451" "-33491.7620807369" "79192.5923863671" "457991.416873092" "-779217.0532009" "212808.419535076" "L"
"23" "195284.565187679" "4655495.14644266" "-731917.292686988" "2313190.58770303" "1812332.44450738" "275561.246080199" "665168.817720683" "94575.1295508849" "-132212.255562889" "L"
"24" "3362467.82294655" "1116900.84157267" "-5402325.29130156" "897489.080637792" "200497.736724893" "78453.0833439106" "856775.866402407" "-1193365.13936883" "-131318.060488368" "L"
"25" "4698846.81166533" "10521384.5456405" "560898.602179002" "2228931.56962582" "1631175.55434684" "-793770.762680501" "756054.360323528" "-494350.974943595" "-290666.421368388" "L"
"26" "-6597308.67624353" "5459236.36517091" "754922.667272466" "1095368.89646433" "1428806.35206707" "-569898.359716873" "342632.047950618" "-209125.871770795" "-355864.630937609" "L"
"27" "-4529320.08115371" "2958209.54501249" "-1160819.53476856" "1477187.25086584" "1785088.29998213" "-869429.169429243" "35578.6525579517" "62391.9271180376" "211191.075368251" "L"
"28" "-2242317.6356749" "7412306.50233367" "517668.340280374" "2135543.94513922" "1458159.5875585" "-247626.769727542" "754937.044054007" "-416944.149625107" "-236272.07945278" "L"
"29" "-8376405.61613543" "-2792796.70500833" "-3668681.79550045" "-40456.6081747093" "-220460.402479692" "-546930.606876329" "534867.651475437" "-822010.832636" "211637.54410287" "L"
"30" "-6776160.67686861" "-4802707.65278348" "-2736451.0221717" "406593.44263838" "-320420.329196517" "473399.99893922" "1528697.46750714" "30374.9961765957" "175406.962059699" "L"
"31" "-57155.9585510579" "-5851018.68898002" "-6438894.62417145" "2038212.93821648" "1443780.6860151" "-1926200.19456848" "-953079.929156061" "-40124.6801689089" "-199391.276518785" "L"
"32" "9300917.87619211" "-8476168.34628541" "-4557576.98009037" "1301676.702889" "-1279139.83216844" "693277.975901024" "-506410.667847101" "1244090.41530569" "145565.265327771" "O"
"33" "27193752.0450856" "1982781.56756962" "-11190678.7832452" "-6394109.59716011" "-295126.82830647" "-1940202.15386507" "-2894496.90178338" "-2225029.04826405" "84810.9573577757" "O"
"34" "29765523.2127479" "11652022.7946683" "-10683210.5476195" "-6479233.90077207" "300599.137265656" "1074023.32311307" "-1899168.84451341" "-3118359.01633059" "-115357.662065729" "O"
"35" "4475680.88169427" "-8954073.545231" "-4729509.51199149" "614267.823475501" "626897.166802643" "-2532757.47607958" "1068407.6681574" "-375653.883543149" "-69470.1430487704" "L"
"36" "3395841.09620479" "-5389142.15412194" "-3242196.79618494" "-2063479.52991677" "606626.235451466" "-1080513.25534308" "1641192.49780938" "-583461.666010676" "-310571.995836503" "O"
"37" "16283304.7354801" "-13812565.8965064" "-9731770.13445663" "3745714.15542405" "946695.394613925" "-5967055.09159208" "-1171866.42055504" "-1605106.03485896" "74508.0210825329" "O"
"38" "13012321.8543575" "-13097937.3460544" "-8123875.95175706" "3503426.64685626" "778667.430728208" "-5118582.46181921" "-721095.808247936" "-1360892.97962978" "-51505.1481752405" "O"
"39" "21878822.019168" "-1205501.64395238" "-8905493.93497195" "-217870.747471516" "-3842196.66592309" "-858117.731192043" "126448.783388574" "-671642.177180666" "535037.581966951" "O"
"40" "22682505.8964074" "1696548.38158485" "11719525.5964405" "-5095033.0977777" "6141752.37003659" "-6313944.60698861" "-220764.229827537" "-251230.729318602" "119465.50918743" "L"
"41" "28269475.4349776" "1077629.87695834" "4733698.831401" "-6490404.99936582" "609841.154913167" "-4347438.80263599" "-99231.039470308" "604122.599656677" "1351835.00934975" "L"
"42" "16273673.9563434" "-8195220.92153995" "3283137.60421157" "-629939.446300752" "-920476.840547772" "-1412589.83961262" "10285.0895090377" "1537586.70986959" "365368.490278575" "L"
"43" "16081001.3086175" "-6819216.50715818" "2295703.62150579" "-4362707.4228548" "-1418646.60549501" "-2723927.89909776" "1389643.38611258" "1962616.65188391" "748592.121609612" "L"
"44" "-12981142.8087872" "703425.774380804" "183413.503136216" "599218.814122852" "581098.480601838" "-685317.152642376" "417436.33707551" "-158590.254399354" "-156236.585545918" "L"
"45" "220388.431175427" "-1732656.22300537" "-4659806.71221614" "373764.521287532" "102672.896645547" "-791135.801267067" "525050.586154433" "-633071.4524309" "136083.387082037" "L"
"46" "-14482138.1416392" "5692699.19397797" "778642.116072232" "-56631.1477805951" "-916161.654314854" "-352257.45883181" "-667025.391852504" "-559953.578171175" "44629.57777462" "R"
"47" "-23227180.5652095" "-1240615.23418528" "1059084.14961015" "-1476728.55755452" "-908178.00292358" "-1137440.25916467" "-242236.342041885" "-378448.429914833" "123367.851599028" "R"
